总文件: 162431

== 顶层构成（136 项）==
   20124 个 /     53.39 GiB ｜ [Blastwave.FX]Collection
   57679 个 /     36.77 GiB ｜ 音效
   27039 个 /     28.38 GiB ｜ Bluezone Corporation(76)
    1758 个 /     23.99 GiB ｜ LTT_V30All
    1701 个 /     22.62 GiB ｜ 魔法法术咒语技能释放音效
    1752 个 /     16.14 GiB ｜ 气氛音乐音效
    2220 个 /     16.02 GiB ｜ Multiply Sound Film Score Bundle
     724 个 /      9.59 GiB ｜ Rock The Speakerbox - Broken
     443 个 /      8.80 GiB ｜ [Tonsturm]02 Electricity
     436 个 /      7.63 GiB ｜ 预告
    1509 个 /      7.59 GiB ｜ Boom Library - Close Combat Bundle
       2 个 /      7.49 GiB ｜ (根级文件)
    4497 个 /      6.82 GiB ｜ Wind
    2107 个 /      6.05 GiB ｜ 布斯的音效库
    1396 个 /      5.77 GiB ｜ Sound Morph - Matter Mayhem
    1969 个 /      5.39 GiB ｜ 电影级音效
     394 个 /      5.16 GiB ｜ [Tonsturm]01 Breaking Glass
     285 个 /      4.46 GiB ｜ A Sound Effect - Animal Hyperrealism Vol II
     427 个 /      3.00 GiB ｜ A Sound Effect - Rocks Momentum
   19303 个 /      2.80 GiB ｜ [Sound.Ideas]The SFX Kit For Game
     378 个 /      1.97 GiB ｜ [Hollywood.Edge]The Edge Edition
     293 个 /      1.80 GiB ｜ [Hollywood.Edge]The Eerie Edition Sound FX_可怕的
     477 个 /      1.60 GiB ｜ [Sound.Ideas]The Underwater Sound Effects Series
     114 个 /      1.21 GiB ｜ [Sound.Ideas]Thunder Sound Effects
     438 个 /      1.17 GiB ｜ 临时
      60 个 /      0.85 GiB ｜ Backgrounds
    4014 个 /      0.84 GiB ｜ [Samplesourcer]Collecyion
     145 个 /      0.81 GiB ｜ 脚步声02
     199 个 /      0.77 GiB ｜ [Sound.Ideas]The Metropolis Science Fiction Toolkit
     110 个 /      0.77 GiB ｜ 脚步声
      99 个 /      0.77 GiB ｜ 飞机02
     102 个 /      0.76 GiB ｜ US02
     100 个 /      0.76 GiB ｜ US03
      46 个 /      0.75 GiB ｜ 汽车
      44 个 /      0.75 GiB ｜ 环境音
      99 个 /      0.74 GiB ｜ 鸟，动物
      97 个 /      0.74 GiB ｜ US05
     100 个 /      0.74 GiB ｜ [Sound.Ideas]Drone Archeology
      99 个 /      0.72 GiB ｜ 26.Sci Fi,Beeps,Computers,Industry,Chemistry,Lab,Hospital
     130 个 /      0.72 GiB ｜ Pro Sound Effect
      90 个 /      0.72 GiB ｜ US01
      57 个 /      0.71 GiB ｜ 飞机
      99 个 /      0.71 GiB ｜ 34.Airplane,Helicopter,Train,Boat,Car,Motorcycle
     103 个 /      0.71 GiB ｜ US04
      99 个 /      0.69 GiB ｜ 7 Cars
