zip,member,结论,zip参数,lib参数,pcm_zip,pcm_lib
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Earth Cast/WC_Earth_BoulderCast2_CT.wav,PCM一致,zip 96000/2/17.9s,lib 96000/2/17.9s,a3cb43b2e0680b458c06f11ac2ac1322,a3cb43b2e0680b458c06f11ac2ac1322
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Earth Cast/WC_Earth_DestructionSpell5_CT.wav,PCM一致,zip 96000/2/11.49s,lib 96000/2/11.49s,217c17b7e376054c45362c415f0cca0a,217c17b7e376054c45362c415f0cca0a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Fire Cast/WC_Fire_FireBall_CT.wav,PCM一致,zip 96000/2/9.5s,lib 96000/2/9.5s,df097410fbd6c1c606bf77aa9c242e85,df097410fbd6c1c606bf77aa9c242e85
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Fire Cast/WC_Fire_Firebolt_CT.wav,PCM一致,zip 96000/2/9.49s,lib 96000/2/9.49s,f2f27a1a46f96a8511893c30eaeaaf14,f2f27a1a46f96a8511893c30eaeaaf14
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Fire Cast/WC_Fire_FlameCrash_CT.wav,PCM一致,zip 96000/2/8.18s,lib 96000/2/8.18s,e3bcbf1d7973420b7a3612de85697b04,e3bcbf1d7973420b7a3612de85697b04
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Fire Cast/WC_Fire_Fulmination_CT.wav,PCM一致,zip 96000/2/8.15s,lib 96000/2/8.15s,40d0d8ca54aad06871f793ef371c2076,40d0d8ca54aad06871f793ef371c2076
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Elemental/Fire Cast/WC_Fire_IceMelting_CT.wav,PCM一致,zip 96000/2/27.7s,lib 96000/2/27.7s,449a1146e45b94463f975be325e61676,449a1146e45b94463f975be325e61676
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Atmosphere/WC_Atmos_FatFall_CT.wav,PCM一致,zip 192000/2/56.32s,lib 192000/2/56.32s,dd383c5e91ba877dbe3fce9e02ce009c,dd383c5e91ba877dbe3fce9e02ce009c
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Atmosphere/WC_Atmos_PostApo_CT.wav,PCM一致,zip 192000/2/36.24s,lib 192000/2/36.24s,bababf785df4cdf67b2307c9d4f03a55,bababf785df4cdf67b2307c9d4f03a55
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Atmosphere/WC_Atmos_WindyHalls_CT.wav,PCM一致,zip 192000/2/23.04s,lib 192000/2/23.04s,6605e9891fb7ea1e21eb19d7cf676d83,6605e9891fb7ea1e21eb19d7cf676d83
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Bonus/Monsters & Creatures/MO_RageMonsterAttack2_CT.wav,PCM一致,zip 96000/2/2.75s,lib 96000/2/2.75s,4bc83beecce08dfeb826fdd52cb16c80,4bc83beecce08dfeb826fdd52cb16c80
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Bonus/Stingers/EON_Stinger_Aquaphone_fx_rise_LowKiller_CT.wav,PCM一致,zip 96000/2/23.4s,lib 96000/2/23.4s,08835951e14ddb83940218957ebeaf99,08835951e14ddb83940218957ebeaf99
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Drone/WC_Drone_Cymbalin_CT.wav,PCM一致,zip 192000/2/22.87s,lib 192000/2/22.87s,aea363c3421efe30c878a0a28be19b17,aea363c3421efe30c878a0a28be19b17
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Burst_Fuel_crisp4_CT.wav,PCM一致,zip 192000/2/1.27s,lib 192000/2/1.27s,b32f56d51600ab26b8c49960b577833e,b32f56d51600ab26b8c49960b577833e
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Burst_Fuel_short_CT.wav,PCM一致,zip 192000/2/4.98s,lib 192000/2/4.98s,1c2f923213d6ec23e4432a3da06fd1cd,1c2f923213d6ec23e4432a3da06fd1cd
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Movement_Flame_crispy_CT.wav,PCM一致,zip 192000/2/6.99s,lib 192000/2/6.99s,3f0ce69c3334fb014149c10e8154abe9,3f0ce69c3334fb014149c10e8154abe9
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Sizzle_BurningOil_CT.wav,PCM一致,zip 192000/2/7.2s,lib 192000/2/7.2s,ad3271f85b8d9f9c18f8184371114537,ad3271f85b8d9f9c18f8184371114537
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Sizzle_DrizzleWaterIntoOil4_CT.wav,PCM一致,zip 192000/2/22.5s,lib 192000/2/22.5s,c2b5e3f8ae994dd3eaf4e6a9db5eb47b,c2b5e3f8ae994dd3eaf4e6a9db5eb47b
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Whoosh_Tourch11_CT.wav,PCM一致,zip 192000/2/1.34s,lib 192000/2/1.34s,2d101e9df99039bb26592c343b295a92,2d101e9df99039bb26592c343b295a92
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Whoosh_Tourch_longmovement3_CT.wav,PCM一致,zip 192000/2/3.34s,lib 192000/2/3.34s,1bc2a19a4a60112969d6c4827e861d40,1bc2a19a4a60112969d6c4827e861d40
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Fall_large3_CT.wav,PCM一致,zip 192000/2/5.88s,lib 192000/2/5.88s,f66acdb00ab1984e57be6cbbaee35502,f66acdb00ab1984e57be6cbbaee35502
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Slide_large2_CT.wav,PCM一致,zip 192000/2/6.0s,lib 192000/2/6.0s,82eb34913ee6ab50cb1776cbd1d4f88e,82eb34913ee6ab50cb1776cbd1d4f88e
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Slide_medium3_CT.wav,PCM一致,zip 192000/2/8.0s,lib 192000/2/8.0s,3989e51df1d36221544035e78edf9dc9,3989e51df1d36221544035e78edf9dc9
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Sand&Gravel&Pebble/WC_Sand&Gravel&Pebble_Debris3_CT.wav,PCM一致,zip 192000/2/4.22s,lib 192000/2/4.22s,fdf57113930c71beb28f845499dcce3a,fdf57113930c71beb28f845499dcce3a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Piercer/WC_Piercer_Circuit_CT.wav,PCM一致,zip 192000/2/4.79s,lib 192000/2/4.79s,8d5a9a61e8563fe6e7740e0646f17c9a,8d5a9a61e8563fe6e7740e0646f17c9a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Piercer/WC_Piercer_NoiseWoosh_CT.wav,PCM一致,zip 192000/2/9.35s,lib 192000/2/9.35s,695f5bd6304f78d58ef09cdcb20d54b4,695f5bd6304f78d58ef09cdcb20d54b4
