zip,member,size,crc32,status,matched_path
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_BlindFury_CT.wav,4518458,90c73cf2,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_BlindFury_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CleanseConjure_CT.wav,4032124,41076bd5,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CleanseConjure_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell2_CT.wav,3456124,e1341086,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell2_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell3_CT.wav,3456124,fd869aa5,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell3_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell_CT.wav,2880124,e6a99ffd,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_CurseSpell_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_DemonicInfusion2_CT.wav,3628844,c1332919,OK,/volume1/主目录/Collection/素材&模板&音库/音效/03_项目素材/LTT_V30All/WC_Conjure_DemonicInfusion2_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_DemonicInfusion_CT.wav,2975450,78cd7032,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_DemonicInfusion_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_EvilBreath2_CT.wav,6336124,988713d1,OK,/volume1/主目录/Collection/素材&模板&音库/音效/03_项目素材/LTT_V30All/WC_Conjure_EvilBreath2_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_EvilBreath3_CT.wav,3523660,c76139c7,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_EvilBreath3_CT.wav
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designed/Conjure/WC_Conjure_EvilBreath4_CT.wav,4320044,5ceaed1a,OK,/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/魔法法术咒语技能释放音效/Cinetools Witchcraft/Designed/Conjure/WC_Conjure_EvilBreath4_CT.wav
